Property_Area_Semiurban,Property_Area_Urban,Education,Married,Credit_History,Loan_Status
1.0,0.0,1,1,1,1
1.0,0.0,1,0,1,1
0.0,1.0,1,1,1,1
0.0,0.0,0,0,1,0
0.0,0.0,1,1,1,1
1.0,0.0,0,0,1,1
1.0,0.0,1,0,0,0
0.0,1.0,1,1,1,1
0.0,1.0,1,1,1,0
0.0,0.0,1,1,0,0
0.0,0.0,1,1,1,1
1.0,0.0,0,1,1,1
0.0,1.0,1,1,1,1
1.0,0.0,1,0,1,1
0.0,1.0,1,1,1,1
0.0,0.0,1,0,1,1
1.0,0.0,1,0,1,1
0.0,0.0,1,1,1,0
0.0,1.0,1,1,1,1
0.0,1.0,0,1,1,0
1.0,0.0,1,1,1,1
0.0,1.0,1,0,1,1
0.0,1.0,1,1,1,1
1.0,0.0,1,1,1,1
0.0,0.0,0,1,0,0
1.0,0.0,1,1,1,1
1.0,0.0,1,1,1,1
0.0,1.0,0,0,0,0
0.0,1.0,1,1,1,1
0.0,0.0,0,0,1,1
1.0,0.0,1,1,1,1
0.0,0.0,1,0,1,0
0.0,0.0,1,1,1,1
0.0,1.0,1,1,1,1
1.0,0.0,1,1,1,0
0.0,1.0,1,1,1,1
1.0,0.0,1,0,0,0
1.0,0.0,1,0,1,0
0.0,0.0,1,1,1,1
0.0,0.0,1,1,1,1
0.0,0.0,1,0,1,0
0.0,0.0,1,1,0,0
1.0,0.0,1,0,1,1
0.0,0.0,0,1,1,1
0.0,1.0,1,0,1,1
0.0,0.0,1,1,1,1
0.0,0.0,1,1,1,1
1.0,0.0,1,0,1,1
0.0,1.0,1,0,1,1
0.0,1.0,1,0,0,0
1.0,0.0,1,1,1,1
0.0,0.0,1,1,1,1
0.0,1.0,1,1,1,1
0.0,0.0,0,0,1,1
1.0,0.0,1,1,1,1
1.0,0.0,0,1,1,1
0.0,0.0,1,1,0,0
1.0,0.0,1,1,1,1
0.0,1.0,1,1,0,0
1.0,0.0,1,0,1,0
0.0,0.0,1,0,1,1
1.0,0.0,1,0,1,1
0.0,1.0,1,1,1,1
1.0,0.0,1,1,1,1
1.0,0.0,1,0,1,0
1.0,0.0,1,1,1,1
0.0,1.0,1,1,1,1
1.0,0.0,0,1,1,1
0.0,0.0,1,0,0,0
0.0,0.0,1,1,1,1
1.0,0.0,1,0,1,1
0.0,1.0,1,1,1,1
0.0,1.0,1,1,1,1
1.0,0.0,1,1,1,1
0.0,0.0,1,1,1,0
0.0,0.0,0,1,1,1
0.0,0.0,1,1,1,0
1.0,0.0,1,0,1,1
0.0,1.0,0,1,1,1
1.0,0.0,1,0,0,0
0.0,0.0,1,0,1,1
0.0,1.0,1,1,1,1
1.0,0.0,1,1,1,1
0.0,1.0,0,1,1,1
0.0,0.0,1,1,1,1
0.0,1.0,0,1,0,0
1.0,0.0,1,1,1,1
1.0,0.0,1,1,0,0
1.0,0.0,1,1,1,1
0.0,0.0,1,1,1,1
1.0,0.0,1,0,1,1
1.0,0.0,1,0,1,1
0.0,1.0,0,1,1,1
1.0,0.0,1,0,1,1
1.0,0.0,1,1,1,1
0.0,0.0,0,1,0,0
0.0,1.0,1,1,1,1
0.0,0.0,1,1,1,1
0.0,1.0,0,0,0,0
0.0,1.0,1,1,1,0
0.0,1.0,1,0,1,1
0.0,1.0,1,1,0,1
0.0,0.0,1,1,1,1
0.0,1.0,0,0,1,1
0.0,0.0,1,0,1,1
0.0,0.0,1,1,1,1
0.0,1.0,1,1,1,0
0.0,0.0,0,1,1,1
0.0,1.0,1,0,1,0
0.0,1.0,1,1,1,1
0.0,1.0,1,1,1,1
1.0,0.0,1,0,1,1
0.0,0.0,0,0,1,0
1.0,0.0,1,1,0,0
0.0,0.0,0,0,1,0
1.0,0.0,1,1,1,1
1.0,0.0,1,1,1,1
0.0,1.0,1,1,1,1
0.0,1.0,1,1,1,1
0.0,0.0,1,1,1,1
0.0,1.0,1,0,1,1
1.0,0.0,1,1,1,1
0.0,0.0,1,1,0,0
0.0,1.0,1,1,0,0
0.0,0.0,1,1,1,1
1.0,0.0,1,0,1,1
1.0,0.0,1,0,1,1
0.0,0.0,1,0,1,0
0.0,0.0,1,1,1,1
0.0,1.0,1,1,0,0
0.0,0.0,1,0,1,0
1.0,0.0,0,1,0,0
0.0,1.0,1,1,1,1
1.0,0.0,1,0,1,1
0.0,1.0,1,0,1,0
0.0,0.0,1,1,1,1
0.0,0.0,0,1,1,0
0.0,1.0,0,1,1,1
0.0,1.0,1,1,1,0
0.0,0.0,1,0,1,0
1.0,0.0,1,0,1,1
1.0,0.0,1,0,1,1
1.0,0.0,1,1,1,1
0.0,0.0,1,1,0,1
0.0,0.0,1,0,0,0
0.0,1.0,1,0,1,1
1.0,0.0,1,0,0,1
0.0,0.0,1,1,1,1
1.0,0.0,1,0,1,1
0.0,0.0,1,0,1,1
